list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3008_Khakish_Sangin Shoraw Haji Ahmad Masjid,Sangin Shoraw Haji Ahmad Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Haji Masjid,Sangin Shoraw Haji Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Haji Noor Ali Masjid,Sangin Shoraw Haji Noor Ali Masjid,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Khiro Masjid,Sangin Shoraw Khiro Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Loy Masjid,Sangin Shoraw Loy Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Masjid,Sangin Shoraw Masjid,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Mohammad Aka,Sangin Shoraw Mohammad Aka,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Mohammad Shah Masjid,Sangin Shoraw Mohammad Shah Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Nadar Masjid,Sangin Shoraw Nadar Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Noor Ali Masjid,Sangin Shoraw Noor Ali Masjid,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Noorali Aka Masjid,Sangin Shoraw Noorali Aka Masjid,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw Qadar Aka Masjid,Sangin Shoraw Qadar Aka Masjid,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Shah Wali Masjid,Sangin Shoraw Shah Wali Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
